"symbol","trade_date","buy","nextday"
"JNJ","2015-07-14","n","y"
"PPG","2015-07-15","y","n"
"PPG","2015-07-16","n","y"
"CE","2015-07-16","y","n"
"CE","2015-07-17","n","y"
"SWI","2015-07-16","y","n"
"SWI","2015-07-17","n","y"
"SBNY","2015-07-20","y","n"
"SBNY","2015-07-21","n","y"
"ACE","2015-07-21","y","n"
"ACE","2015-07-22","n","y"
"EXPO","2015-07-21","y","n"
"EXPO","2015-07-22","n","y"
"MANH","2015-07-21","y","n"
"MANH","2015-07-22","n","y"
"CHKP","2015-07-21","y","n"
"CHKP","2015-07-22","n","y"
"MKSI","2015-07-22","y","n"
"MKSI","2015-07-23","n","y"
"MLNX","2015-07-22","y","n"
"MLNX","2015-07-23","n","y"
"DLX","2015-07-22","y","n"
"DLX","2015-07-23","n","y"
"AOS","2015-07-22","y","n"
"AOS","2015-07-23","n","y"
"SNA","2015-07-22","y","n"
"SNA","2015-07-23","n","y"
"SPG","2015-07-23","y","n"
"SPG","2015-07-24","n","y"
"MCO","2015-07-23","y","n"
"MCO","2015-07-24","n","y"
"LEA","2015-07-23","y","n"
"LEA","2015-07-24","n","y"
"PEB","2015-07-23","y","n"
"PEB","2015-07-24","n","y"
"PAG","2015-07-28","y","n"
"PAG","2015-07-29","n","y"
"JAH","2015-07-28","y","n"
"JAH","2015-07-29","n","y"
"MDP","2015-07-29","n","n"
"MDP","2015-07-30","y","y"
"AB","2015-07-29","y","n"
"AB","2015-07-30","n","y"
"NCIT","2015-07-29","y","n"
"NCIT","2015-07-30","n","y"
"ITT","2015-07-30","y","n"
"ITT","2015-07-31","n","y"
"NWL","2015-07-30","y","n"
"NWL","2015-07-31","n","y"
"KLAC","2015-07-30","n","n"
"KLAC","2015-07-31","y","y"
"BSFT","2015-07-31","y","n"
"BSFT","2015-08-03","n","y"
"AFSI","2015-08-03","y","n"
"AFSI","2015-08-04","n","y"
"CYH","2015-08-03","y","n"
"CYH","2015-08-04","n","y"
"RRD","2015-08-03","y","n"
"RRD","2015-08-04","n","y"
"PCLN","2015-08-04","y","n"
"PCLN","2015-08-05","n","y"
"FSLR","2015-08-04","n","n"
"FSLR","2015-08-05","y","y"
"DVN","2015-08-04","y","n"
"DVN","2015-08-05","n","y"
"FLT","2015-08-05","y","n"
